"de","en"
"Falls vorhanden, wir vorgängig der Verschluss der Kammer 92 entfernt.","If preset, the closure of the chamber 92 is previously removed."
"Die Flockungsmittel werden in Form ihrer 0,05 bis 0,2 %igen wäßrigen Lösungen eingesetzt.","The flocculants are used in the form of their 0.05-0.2% strength aqueous solutions."
"Ein poröser Absorber weist ein dichtes Netzwerk von miteinander größtenteils verbundener Hohlräume bzw. Poren auf, welches bis an die Oberfläche des porösen Absorbers reicht.","A porous absorber comprises a dense network of cavities or pores which are largely connected to each other and which reach to the surface of the porous absorber."
"Durch einen längenverstellbaren Hebel kann zudem ein Spiel zwischen den ersten und zweiten Eingriffselementen der zweiten Anlenkeinrichtungen, welches im Laufe der Zeit entstehen kann, ausgeglichen werden.","In addition, play between the first and second engagement elements of the second link devices, which can occur over the course of time, can be compensated for by an adjustable-length lever."
"Eine Radlaständerung bewirkt gleichsinnige Änderungen des Radradienverhältnisses sowohl für die gleichseitigen Radpaare als auch für die diagonalen Radpaare.","A change in the wheel load causes changes in the same direction for the wheel radius relationship, both for the same-sided wheel pairs and for the diagonally opposed pairs of wheels."
"6 zeigt ein Ablaufdiagramm eines Verfahrens 500 zum Herstellen eines Sensors für ein Fahrzeuggetriebe, gemäß einem Ausführungsbeispiel der vorliegenden Erfindung.","6 shows a flow chart of a method 500 for the production of a sensor for a vehicle transmission, in accordance with one embodiment of this invention."
"Außenwandung, zylindrisch","Outer wall, cylindrical"
"Die Ausgangsstoffe zur Herstellung der erfindungsgemässen Stabilisatoren sind kommerziell erhältlich oder lassen sich durch bekannte Verfahren herstellen.","The starting materials needed to prepare the stabilizers of this invention are items of commerce or can be prepared by known methods."
"Über den Wartungsdeckel 23 kann das Filterelement 3 aus dem Aufnahmeabschnitt 19 entnommen werden.","The filter element 3 can be removed from the holding section 19 via the maintenance cover 23 ."
"Weiterhin wird davon ausgegangen, dass der Partikelfilter 5 in dem vorliegenden Neuzustand ein Partikel-Abscheidegrad von weniger als 70 % bezogen auf die Partikelmasse und/oder die Partikelanzahl des typischerweise vom Verbrennungsmotor 1 abgegebenem und den Partikelfilter 5 durchströmenden Abgases aufweist.","Furthermore, it is assumed that the particle filter 5 in the existing new condition has a particle separation efficiency of less than 70% relative to the particle mass and/or the number of particles of the exhaust that is typically emitted by the combustion engine 1 and flows through the particle filter 5 ."
"Wie die Figur 11 dieser Druckschrift zeigt, besitzt die darin behandelte Schraube mit Schraubenkopf und Schraubenschaft auch einen Flansch, der beim Eindrehen der Schraube in ein Bauteil gegen die Oberfläche des Bauteils aufläuft und dabei verformt wird.","As shown in FIG. 11 of this printed document, the screw described therein having a screw head and a screw shank also includes a flange which will contact the surface of a component part as the screw is being screwed into the latter and will be deformed in this process."
"Die Glasübergangstemperatur der inneren Schale lag bei circa 80°C, die der äußeren Schale bei -40°C und die Filmbildungstemperatur unter 0°C.","The glass transition temperature of the inner shell was about 80° C. and that of the outer shell -40° C., and the film forming temperature was below 0° C."
"Somit läßt sich der Abstandshalter 118 nicht über die in Figur 6 gezeigte Position hinaus in Richtung auf das Bauteil 10 verstellen.","Accordingly, the spacer 118 cannot be shifted beyond the position, shown in FIG. 6, in the direction of the structural component 10 ."
"Auf diese Weise können den bogenförmigen Rändern der zu Waffeltüten einzurollenden, gebackenen Waffelstücke entsprechende Randkonturen bereits beim Teigaufguß auf die heiße Backfläche realisiert werden, sodass das gebackene Waffelband entsprechend den geraden Rändern dieser Waffelstücke ohne nennenswerten Backabfall zick-zack-förmig zerteilt werden kann.","In this way, peripheral contours that correspond to the curved edges of the baked wafer pieces to be rolled up into wafer cones can already be realized when dough is poured into the hot baking surface, so that the baked wafer strip can be divided in zig-zag form along the straight edges of these wafer pieces, without significantly wasting baked dough."
"Insulin 2 entspricht der Formel II, dabei ist Phe (B1),","Insulin 2 corresponded to the formula II, in this case was Phe (B1),"
"Die aus klimatechnischer Sicht gewünschte Einstellposition der Abblendeinrichtung 3 wird dabei gemäß der angestrebten Wärmebilanz des entsprechenden Fensters 14 ermittelt.","The desired setting position of the screening device 3 from the point of view of climate factors is thereby determined in accordance with the aimed-for thermal balance of the corresponding window 14."
"Hierbei sind auch Hinterschnitte realisierbar.","Undercuts are also implementable in this case."
"> 30 l pro Minute mit dazu zu rechnender Pulverzuführung von bis zu 20 g pro Minute kann die Sonde auf einen spiralig wandernden Oberflächenort räumlich konzentriert werden.","This occurs with an increased laser light wattage of 4 kW focused on a beam spot with a diameter of between 2 to 4 mm, and with a feed rate of between 1500 to 4000 mm per minute, and having a conveying gas feed of about 30 liters per minute, and wherein a powder feed rate of up to 20 grams per minute is added."
"Um in Kett- und Schußrichtung der Gewebe gleiche Festigkeiten zu erreichen, erfolgt die Herstellung der Gewebe bevorzugt in einer symmetrischen Gewebeeinstellung, das heißt, mit gleichen oder nahezu gleichen Fadenzahlen in Kette und Schuß.","In order to attain the same strength in the warp and weft directions, the fabric is preferably made with a symmetrical weave setting, i.e., with the same or nearly the same thread counts in warp and weft."
"Besonders einfach und vorteilhaft ist der Einsatz wenigstens eines Interdigitaltransducers, wie sie aus der Hochfrequenzfiltertechnologie bekannt sind.","The use of at least one interdigital transducer such as is known from radio frequency filter technology is particularly simple and advantageous."
"Der Graben erfüllt somit mehrere vorteilhafte Funktionen gleichzeitig und ist auf diese Weise in einer besonders effektiven Weise eingesetzt, was zu einem verbesserten Halbleiterchip und insbesondere zu einer signifikanten Steigerung der emittierten Strahlungsleistung des Halbleiterchips führen kann.","Consequently, the trench fulfills a plurality of advantageous functions simultaneously and is in this way used in a particularly effective manner, which may lead to an improved semiconductor chip and, in particular, to a significant increase in the emitted radiation power of the semiconductor chip."
"B. durch Absenken, der Schlaufe 510b bzw. 510c des jeweils nachfolgenden Transportelements an einen feststehenden Stift 520a bzw. 520b des jeweils vorauslaufenden Transportelements gekoppelt werden.","by lowering, the loop 510 b and 510 c, respectively, of the respectively succeeding transport element, to a fixed pin 520 a and 520 b, respectively, of the respectively preceding transport element."
"Verwendet man beispielsweise für das erfindungsgemäße Verfahren (b) 0-Ethyl-0-(2,2,2-trifluorethyl)-0-(5-ethyl-6-hydroxy-2-i-propyl-pyrimidin-4-yl)-thionophosphorsäureester und Methyliodid als Ausgangsstoffe, so kann die entsprechende Reaktion durch das folgende Formelschema wiedergegeben werden:","If, for example, O-ethyl O-(2,2,2-trifluoroethyl) O-(5-ethyl-6-hydroxy-2-i-propyl-pyrimidin-4-yl) thionophosphate and methyl iodide are used as starting materials, then the corresponding reaction can be represented by the following equation: ##STR7##"
"Von dort aus wird der Medienstrom durch ein Rauchgasmischrohr und anschließend durch eine das Rauchgasmischrohr konzentrisch umgebende Hauptbrennkammer und schließlich, von den Störstoffen befreit, über die Wärmetauscherrohre abgeleitet.","In a known apparatus for the cleaning of carrier gas flows the flow is conducted through a flue gas mixing pipe which is concentrically surrounded by a main combustion chamber into which the gas flows from the flue gas mixing pipe."
"Die Signalgeber 41 und 42 sind - bezüglich des zweiten Lagerbolzens 23 - gegenüberliegend zur Spannfläche 29 und zur Fangfläche 33 angeordnet, und zwar tangential zum zweiten Lagerbolzen 23 und mit entgegengesetzter Polung zueinander.","The transducers 41 and 42 are arranged—relative to the second bearing pin 23 —opposite the clamping surface 29 and the catch surface 33, and namely tangentially to the second bearing pin 23 and with opposing polarity to one another."
"Darstellen einer partikulären Carbodiimidverbindung,","preparation of a particulate solid carbodiimide compound;"
"Der vorliegenden Erfindung liegt die Aufgabe zugrunde, ein Mehrzweck-Endgerät zu schaffen, das die weiter oben genannten Funktionen bedarfsweise erfüllen kann.","The object of the present invention, therefore, is to provide a multi-purpose terminal device which can, as required, fulfill the functions set forth above."
"Die Dauer der anodischen Polarisation beträgt im erfindungsgemäßen Verfahren vorzugsweise zumindest 0,2 Sekunden, besonders bevorzugt zumindest eine Sekunde, da bei geringeren Polarisationszeiten die Zinnoberfläche hauptsächlich kapazitiv umgeladen wird, ohne dass ein hinreichender faradayscher Strom fließt, der die Zinnoberfläche chemisch zu modifizieren vermag.","The duration of the anodic polarization in the method according to the invention is preferably at least 0.2 seconds, particularly preferably at least one second, since with lower polarization times the tin surface mainly undergoes capacitive charge reversal without the flow of an adequate Faraday current which is capable of chemically modifying the tin surface."
"Das Schüttgut 16 wird in einem Drehrohr 1 in den an das Beschickungsende anschließenden Teil zunächst im Gegenstrom zu heissen Gasen geführt und durch direkten Wärmeaustausch getrocknet und gegebenenfalls vorkalziniert.","A process for drying and/or calcining bulk material in a rotary kiln when hot gases are passed countercurrent to the flow of bulk material thereto, and the bulk material is dried and/or calcined in the rotary kiln is disclosed."
"System mit einer Elektrode nach Anspruch 1, einer Stromversorgung, einem Impulsgeber und einer Steuerelektronik, die mit der Elektrode gekoppelt oder koppelbar sind.","system having an electrode as claimed in claim 1, an electrical supply, a pulse generator and control electronics, which are coupled or couplable to the electrode."
"Rückströmnuten können zum Beispiel statt dessen in den metallischen Boden des Kammerringes 5 eingefräst sein.","Instead, back-flow grooves 4 a can be milled into the metallic base of the chamber ring 5, for example."
"Darüber hinaus ist Gegenstand der vorliegenden Erfindung die Verwendung eines erfindungsgemäßen Gemisches kettenförmiger und cyclischer Siloxan-Oligomerer als Haftvermittler in Kleb- und Dichtstoffen zur Erzielung verbesserter Gebrauchseigenschaften, insbesondere kontrollierten Aushärteverhaltens, verbesserter mechanischer Festigkeit sowie verbesserter Feuchtigkeitsresistenz.","The present invention provides, moreover, for the use of a novel mixture of catenate and cyclic siloxane oligomers as adhesion promoters in adhesives and sealants in order to provide improved service properties, especially controlled curing behavior, improved mechanical strength and improved moisture resistance."
"Unter Beibehaltung der in Tabelle 1 ausgewiesenen LHSV ergäben sich für die gerade genannten Volumenströmen folgende Katalysatorvolumina:","Maintaining the LHSV identified in table 1 gave, for the just mentioned volumetric flow rates, the following catalyst volumes:"
"Bei anderen Verfahren wird versucht, die erwünschte intensive Durchmischung durch dynamische oder statistische Mischer in einem Durchgang, d.h. ohne Kreislauf zu erreichen.","In other phosgenation processes, attempts are made to achieve the desired intensive, thorough mixing by means of dynamic or static mixers in a single passage, that is, without circulation."
"Die Verstärkungsfolie kann eine oder mehrere Schichten zwischen der aus Polypropylen bestehenden Trägerschicht und der äußeren Polyethylenschicht aufweisen.","The reinforcement film can have one or more layers between the support layer of polypropylene and the outer polyethylene layer."
"Die Speicherschicht ist die Schicht, welche die Signalinformation gespeichert hält.","The memory layer is the layer which stores the signal information."
"Beispiele für solche Lackharze sind Homo- oder Copolymerisate . von Vinylacetat, Acrylat, Acrylnitril, Styrol, Butadien, Vinylchlorid, Vinylidenchlorid, Chloropren oder Harze auf der Basis von Phenol, Harnstoff, Melamin, Epoxiden oder Kondensate, wie Polyester und Polyurethane.","Examples of such paint resins are homo- or copolymers of vinyl acetate, acrylate, acrylonitrile, styrene, butadiene, vinyl chloride, vinylidene chloride, chloroprene, or resins based on phenol, urea, melamine, epoxides, or condensates, such as polyesters and polyurethanes, etc."
"Das in einem Vakuum-Drehrohr gewonnene Sorbitol (D-Glucitol) zeigte einen Gehalt an nicht umgesetzter a-D-Glucose von ≦0,2 %.","The sorbitol (D-glucitol) obtained in a vacuum rotary evaporator had a content of unconverted a-D-glucose of ≤0.2%."
"Die Bewegung der Stellmittel in Richtung der Pfeile 10 bis 13 wird hierbei von einer nicht dargestellten Steuer- und Regeleinrichtung kontrolliert.","The movement of the adjusting means in the direction of the arrows 10 to 13 is controlled here by an open-loop and closed-loop control device that is not represented."
"Gemäß einem weiteren Aspekt der vorliegenden Erfindung kann die Regelung des Abgasgegendrucks sowie des Ladeluftdrucks zusätzlich zur Regelung durch die Drosselvorrichtung bzw. Vorrichtung zur Drosselung des Abgasstroms durch eine Einrichtung zur Ladedruckregelung erfolgen, in die wenigstens ein die Abgasturbine umgehendes Waste Gate eingebunden ist.","According to a further aspect of the present invention, the regulation of the exhaust-gas counter-pressure and of the charge air pressure is carried out, in addition to the regulation by the throttle device or device for throttling the exhaust-gas flow, by a unit for charge pressure regulation in which at least one wastegate which bypasses the exhaust-gas turbine is included."
"Figur 5 lässt eine perspektivische Ansicht einer Verbindungsklemme mit drei Federklemmanschlüssen erkennen.","FIG. 5 reveals a perspective view of a connecting terminal with three spring clamping connections."
"Sämtliche Kugeln 6 können in dieser Position durch die Fenster in den Käfig 5 und die Innenlaufrillen 12 und 13 der Innennabe 4 gesteckt werden.","All of the balls 6 can be inserted into the cage 5 and into the inner grooves 12 and 13 of the inner hub 4 in this position, through the openings."
"Beispiel B1 wurde wiederholt mit dem Unterschied, dass kein Zn(acac) 2 eingesetzt und bei 23°C gemischt wurde.","Example B1 was repeated with the difference that no Zn(acac) 2 was used and mixing took place at 23° C."
"Der detaillierte Aufbau des vorliegenden ersten Ausführungsbeispiels des Wandlersystems 1 wird nachfolgend anhand der schematischen Ansicht der Fig.","The detailed design of the present first embodiment of the converter system 1 is in the following explained based on the schematic view of FIG."
"Bevorzugt werden Kohlenwasserstoffgemische eingesetzt, die im allgemeinen einen Flammpunkt über etwa 120°C, vorzugsweise von etwa 150 bis 220°C und einen Siedebereich von etwa 250 bis 500°C unter Normalbedingungen aufweisen.","It is preferred to use mixtures of hydrocarbons which normally have a flash point above c. 120° C., preferably of c. 150° to 220° C., and a boiling range from c. to 500° C. under normal conditions."
"Mit zunehmender Größe des Stromsollwertes Iref nimmt der absolute Wert von dU/dI ab, d.h. die Arbeitslinie B wird flacher.","If the desired current value Iref is increased, the absolute value of dU/dI decreases, i.e. the operating line B will be flatter."
"Der hier zugrundegelegte Druckmodulator gibt Rückmeldesignale an den ABS-Regler; es handelt sich dabei um Informationen über den eingestellten Bremsdruck P, also im Falle eines Plunger-Druckmodulators (s. z. B. DE-OS 35 30 280) um die druckbestimmende Position des Tauchkolbens.","The pressure modulator 1 transmits acknowledgment signals to the ABS controller 3, including information with regard to the brake pressure P that has been set, and therefore, in the case of a plunger pressure modulator (see, for example, Federal Republic of Germany OS 35 30 280, to the pressure-determining position of the plunger piston."
"Der Nachteil der in den genannten Veröffentlichungen beschriebenen Klebstoffe ist insbesondere in ihrer hohen Schmelzviskosität zu sehen.","The disadvantage of the adhesives described in the aforesaid publications lies particularly in their high melt viscosity."
"Auch läßt sich eine gewünschte Federkraft mit geringerer Beanspruchung der Federn erreichen, so daß die Erfindung auch die Beanspruchung der Federn zu senken vermag, was die Bruchgefahr der Federn reduziert und die Anzahl der Lastwechsel, die die Federn ohne Bruchgefahr aushalten können, kann extrem groß und größer als bei den bekannten Federkontaktstiften bei vergleichbaren Abmessungen und Federmaterialien sein.","A desired spring force may be attained with reduced stress on the spring, so that our invention lowers the stress on the spring and reduces the danger of spring breakage. The number of load changes which the spring can undergo without danger of breaking can be extremely large and larger than in the known spring contact pin with comparable dimensions and spring material."
"Die Weiterbildung nach Patentanspruch 8 bewirkt zusätzlich ein vergleichmäßigtes Temperaturprofil in der Rohrwand an den Austrittsenden der Rohre zum Vermeiden von Wärmespannungen.","This feature additionally produces an evened-out temperature profile in the tube wall at the outlet ends of the tubes, in order to avoid thermal strains."
"Über die zweite Zuleitung 62z erfolgt der Kühlwasserzulauf 64 zum zweiten Kühlwasserkreislauf (nicht dargestellt).","The cooling water feed 64 to the second cooling water circuit (which is not shown) proceeds via the second feed line 62 z ."
"Die Bildsteuereinheit 6 erzeugt dann ein Synchronisiersignal, welches das FF28 taktet, so daß an dessen Ausgängen neue Pegel anliegen.","The image control unit then generates a synchronizing signal which clocks the flip-flop 28 so that two levels are applied at its outputs."
"Aufgabe der Erfindung ist es, die vorerwähnten Nachteile zu beseitigen.","It is the object of the invention to eliminate the aforementioned disadvantages."
"Auf einem Granulierteller mit einem Durchmesser von 1m, einer Neigung von 45° und einer Umdrehungszahl von 55 Upm wurden 15 kg einer Mischung aus Natriumtriphosphat und Natriummetasilikat im Mischungsverhältnis 2: 1 durch Aufsprühen einer 4 Gew%igen wäßrigen Ammoniumpolyphosphatlösung entsprechend Beispiel 1 granuliert. Das NTPP besaß folgende Kenndaten:","kg of a mixture of sodium tripolyphosphate and sodium metasilicate in a mixing ratio of 2:1 was granulated by spraying a 4 weight% aqueous ammonium polyphosphate solution as described in Example 1 thereonto, the spraying being effected on a granulating plate which had a diameter of 1 m, was inclined at an angle of 45° and rotated at a speed of 55 rpm."
"In diesem Fall wird also die Erfindung durch ein auf dem Steuerelement abgespeichertes Programm realisiert, so dass dieses mit dem Programm versehene Steuerelement in gleicher Weise die Erfindung darstellt, wie das Verfahren, zu dessen Ausführung das Programm geeignet ist.","Therefore, in this case, the present invention is realized by a program stored on the control element, so that this control element provided with the program represents the present invention in the same manner as the method, for whose implementation the program is suited."
"Insgesamt wird deutlich, dass die vorgeschlagene Kühlanordnung eine besonders vorteilhafte und effektive Kühlung ermöglicht.","Overall, it is clear that particularly advantageous and effective cooling is made possible by the proposed cooling arrangement."
"HOE 467-B hat folgende Aminosäurenzusammensetzung:","HOE 467-B has the following aminoacid composition:"
"Die Erfindung betrifft ein Strahltransformationselement, eine Vorrichtung zur optischen Strahltransformation, ein Verfahren zur Herstellung eines Strahltransformationselements sowie ein Verfahren zur Transformation einer elektromagnetischen Emission gemäß dem Oberbegriff der unabhängigen Ansprüche.","The invention relates to a beam transformation element, a device for optical beam transformation, a method for producing a beam transformation element and a method for transforming an electromagnetic emission in accordance with the preamble of the independent claims."
"1000 °C) lösen sich sämtliche Einwaagen in den Schmelzen und gleichzeitig werden die Schmelzen homogenisiert.","1000° C.), all initial weights in the liquids dissolve and the liquids become homogeneous at the same time."
"Das Beispiel der Ausführung wird durch die einzige beigelegte Figur 1 illustriert, die","The example of the embodiment is illustrated by the two attached FIGS. 1 and 2 ."
"Nach 20-stündigem Rühren wird die Mischung im Vakuum eingeengt, der Rückstand in 100 ml Dichlormethan aufgenommen und mit 400 ml 5%iger wäßriger Natriumcarbonatlösung extrahiert.","After the mixture has been stirred for 20 hours, it is concentrated in vacuo, the residue is taken up in 100 ml of methylene chloride and the mixture is extracted with 400 ml of 5% strength aqueous sodium carbonate solution."
"Die Hülse 21 ist in den Figuren 5 und 6 im Detail dargestellt.","FIGS. 5 and 6 show the sleeve 21 in detail."
"Gemäß einer weiteren Ausführungsform der Erfindung zeichnet sich der Vierpunktlenker dadurch aus, dass zumindest eine, vorzugsweise mehrere bzw. alle Lageraufnahmen bzw. Lenkerarme zur nichtgelenkigen Anbindung an Fahrzeugachse bzw. Fahrzeugrahmen ausgebildet sind.","According to a further embodiment of the invention, the four-point link is characterized in that at least one, preferably a plurality of, or all, bearing seats or suspension arms are designed to be connected to the vehicle axle or the vehicle frame in a non-articulated manner."
"Steuerverfahren für einen Verbrennungsmotor (1) mit Direkteinspritzung, das eine Einspritzanzahl einer mehrstufigen Einspritzung gemäß einem Betriebsbereich umschaltet und die mehrstufige Einspritzung durchführt, wobei die mehrstufige Einspritzung zum mehrmaligen Aufteilen eines Kraftstoffs in einem Verbrennungszyklus und zum Einspritzen des Kraftstoffs konfiguriert ist,","A control method of a direct-injection internal combustion engine (1) that switches an injection count of multiple-stage injection according to an operating region and performs the multiple-stage injection, the multiple-stage injection being configured to divide fuel into multiple times in one combustion cycle and inject the fuel,"
"Vorzugsweise umfasst das Stanzwerkzeug neben dem Lochstempel einen Gewindedorn, dessen Gewindeprofil als Negativprofil zu einem eine Gewindenut für Kugeln bildenden Innengewinde der Spindelmutter ausgebildet ist, wobei der Lochstempel in dem Gewindedorn radial verschieblich angeordnet ist, und wobei die Spindelmutter auf dem Gewindedorn angeordnet wird, wonach der Lochstempel radial auswärts aus dem Gewindedorn bewegt wird.","The punching tool preferably comprises not only the hole punch but also includes a threaded spike having a thread profile which is formed as a negative profile in relation to an inner thread of the spindle nut forming a thread groove for balls. The hole punch is arranged radially displaceably in the threaded spike, and the spindle nut is arranged on the threaded spike, whereby the hole punch is moved radially outward out of the threaded spike."
"Die erste bzw. zweite Papierbahn wird anschließend mittels eines Anpressgurts jeweils mit einer ungewellten Bahn verbunden.","The first and the second paper web are subsequently connected in each case to a non-corrugated web by means of a press-down belt."
"Zwischen dieser Anpressplatte 32 und der Zentralplatte 16 ist eine zweite Kupplungsscheibe 34 einspannbar.","A second clutch disk 34 can be clamped between this pressure plate 32 and the central plate 16 ."
"Damit die Einstellzinken 15 der Zinkenleiste 30 genau zwischen die Drähte 7 des Dreschkorbes 3 positioniert werden, ist die Zinkenleiste 30, wie bereits zuvor beschrieben, mit einer an den Schlagleisten 6 ortsfest angeordneten Konsole 17 verbunden.","For positioning of the adjusting tines 15 of the tine strips 30 accurately between the wires 7 of the concave 3, the tine strips 30 as described herein above, are connected with a console 17 which is arranged stationary on the beater strip 6 ."
"Dies ist insbesondere bei Faser-Luft-Gemengen mit geringer Reißfestigkeit von Vorteil.","This is particularly advantageous in the case of fiber-air mixtures with low tensile strength."
"Vorrichtungen zur Handhabung von Münzen weisen in der Regel ein Eingabefach auf, in das die zu handhabenden Münzen in Form einer unsortierten Münzmenge eingegeben werden können.","Devices for handling coins usually have an input compartment into which the coins to be handled can be input in the form of an unsorted quantity of coins."
"0-70 Gew.-% einer mindestens ein organisches Polymer, dessen Vorstufen oder dessen Präpolymere enthaltenden oder hieraus bestehenden Matrix und","0-70% by weight of a matrix containing at least one organic polymer, precursors thereof, or prepolymers thereof, and"
"Beispiele für erfindungsgemäß einsetzbare Hydroperoxide sind unter anderem tert-Butylhydroperoxid, Ethylbenzolhydroperoxid, tert-Amylhydroperoxid, Cumenhydroperoxid, Cyclohexylhydroperoxid, Methylcyclohexylhydroperoxid, Tetrahydronaphthalinhydroperoxid, Isobutylbenzolhydroperoxid, Ethylnaphthalinhydroperoxid, Persäuren wie beispielsweise Peressigsäure oder Wasserstoffperoxid.","Examples of hydroperoxides which can be used according to the present invention include tert-butyl hydroperoxide, ethylbenzene hydroperoxide, tert-amyl hydroperoxide, cumene hydroperoxide, cyclohexyl hydroperoxide, methylcyclohexyl hydroperoxide, tetrahydronaphthalene hydroperoxide, isobutylbenzene hydroperoxide, ethylnaphthalene hydroperoxide, peracids such as peracetic acid or hydrogen peroxide."
"Verfahren (1) nach einem der Ansprüche 1 bis 5, bei dem das eingebrachte Kohlenstoffdioxid (2) einem Desorptionsprozess (20) für Kohlendioxid entnommen wird.","The method as claimed in claim 1, wherein the introduced carbon dioxide is taken from a desorption process for carbon dioxide."
"Die Lagerungsöffnungen 6 beider Backen 32, 33 sind im Montagezustand durchsetzt von dem Halterungsbolzen 37.","The mounting bolt 37 passes through the bearing openings 6 of the two jaws 32, 33 in the mounted state."
"Die getaktete Zwangserhöhung des Druckes P L auf der linken Fahrzeugseite wird nun solange fortgesetzt, bis auf der rechten Fahrzeugseite bei 17 wieder eine reguläre Druckerhöhung eintritt.","The pulsed forced or clamped increase of the pressure PL at the left side of the vehicle will be continued until, at the right side of the vehicle, a regular pressure increase occurs--see point 17, FIG. 3."
"Man erkennt, dass am Schiebestück 25b zur Unterlagsscheibe 25c hin zwei gewölbte Kupplungsvorsprünge 25h vorgesehen sind, denen jeweils eine an der dem Schiebestück 25b zugewandten Oberfläche der Unterlagsscheibe 25c vorgesehene Kupplungsnut 25g zugeordnet ist.","One can see that on the forked sleeve 25 b two arched coupling projections 25 towards the washer 25 c are provided to which a coupling groove 25 g each is allocated provided on the surface of the washer 25 c facing towards the forked sleeve 25 b ."
"Druckfestigkeit nach DIN 52421-84 (MPa)","Compressive strength according to DIN 52421-84 (MPa)"
"Anschließend wird dieser frei geschnittene Teilabschnitt in einem weiteren Biegevorgang aus dem Klemmschenkel heraus gebogen und entsprechend so ausgerichtet oder geformt, dass die Fläche dieses Teilabschnitts des Klemmschenkels im Wesentlichen parallel zu der Fläche des Anlageschenkels der Klemmfeder und/oder, in montiertem Zustand an das Kontaktelement, im Wesentlichen parallel zur Kontaktfläche des Kontaktelements ausgerichtet ist.","Subsequently, in a further bending process, this cut segment is bent out of the clamping leg and is suitably aligned or shaped in such a manner that the surface of said segment of the clamping leg is substantially parallel to the surface of the abutting leg of the clamp spring and/or, in the state mounted on the contact element, is aligned substantially parallel to the contact surface of the contact element."
"Als Schieberegister 7.1 und 7.2 können die Bausteine MM74HC165 von National Semiconductor eingesetzt werden, welche zur Steuerung der Datenerfassung und Datenausgabe einen Clock Eingang CL, einen Clock Inhibit Eingang INH und einen Shift / Load Eingang SH/LD besitzen.","The modules MM74HC165 of National Semiconductor can be used as shift registers 7.1 and 7.2. They are provided with a clock input CL, a clock inhibit input INH and a shift/load input SH/LD for data collection and data output."
"Bevorzugt kann das Steckverbindungselement mit der Spuleneinheit verlötet sein.","The plug connection element may preferably be soldered to the coil unit."
"Nachteilig ist aber auch, daß die Kernschicht aus einem Gemisch von kompaktem Material und porösem Material gebildet ist und sich dadurch die stoßdämpfenden und kraftabbauenden Eigenschaften nur über einen Bereich hinweg beeinflussen lassen, der durch die möglichen Mischungsverhältnisse von Teilchen aus kompakten Material und Teilchen aus porösem Material bestimmbar ist.","It is also, however, disadvantageous that the core layer is formed from a mixture of compact material and porous material. For this reason, the shock absorber and force-reducing characteristics can be influenced only over a range which can be determined by the possible mixture ratios of particles of compact material and particles of porous material."
"Eine Lösung aus 32,2 Teilen 7-Methylisatin und 12 Teilen Natriummethylat in 400 Teilen Methanol wird bei 0°C langsam mit 15 Teilen 50gewichtsprozentiger Wasserstoffperoxidlösung versetzt. Nach Zugabe des Wasserstoffperoxids wird das Gemisch 2 Stunden bei Raumtemperatur nachgerührt und wie in Beispiel 1 beschrieben aufgearbeitet. Man erhält 25,5 Teile (78% der Theorie) 3-Methylanthranilsäuremethylester vom Fp 27 bis 29°C.","parts of 50 percent strength by weight hydrogen peroxide solution are added slowly to a solution of 32.2 parts of 7-methylisatin and 12 parts of sodium methylate in 400 parts of methanol at 0° C. Thereafter, the mixture is stirred for 2 hours at room temperature and worked up as described in Example 1. 25.5 parts (78% of theory) of methyl 3-methylanthranilate, of melting point 27°-29° C., are obtained."
"Die Schlauchstücke werden einer Transporteinrichtung übergeben.","The tube pieces are transferred to a transport device."
"Die nachfolgenden Beispiele dienen der Erläutertung der Erfindung.","The following examples illustrate the invention."
"Die Dachreling, die regelmäßig von Zubehör-Lieferanten der Fahrzeughersteller produziert und montagefertig geliefert wird, braucht dann lediglich von oben her auf die Verbindungsbolzen aufgesetzt werden, wobei die Arretierung der Aufnahme auf dem konischen Verbindungsbolzen zweckmäßigerweise selbsttätig erfolgt.","The roof rail, which is usually manufactured by accessory suppliers of the vehicle manufacturer and is supplied in a ready-to-mount state, needs only be placed on the connecting pins from above, and the mount is preferably locked automatically on the conical connecting pin."
"Zuführen der Hängewaren (2) entlang einer Transportrichtung (6) mittels einer Zuführeinheit (7),","feeding the hanging goods (2) in a transport direction (6) by means of a feeding unit (7);"
"Die neuen erfindungsgemäßen Lackpolyisocyanate weisen bei einer mittleren Funktionalität von mindestens 4,1, vorzugsweise mindestens 4,5 und besonders bevorzugt von mindestens 5 und eine Viskosität von maximal 2500 mPa.s/22°C, vorzugsweise von maximal 1000 mPa.s/22°C auf.","The new polyisocyanates according to the invention have a viscosity of at most 2,500 mPa.s/22° C., preferably at most 1,000 mPa.s/22° C., and an average functionality of at least 4.1, preferably at least 4.5 and more preferably at least 5."
"Die Ausführungsbeispiele zeigen mögliche Ausführungsvarianten der Vorrichtung 1 zum Bohren von tiefen Bohrlöchern 2, wobei an dieser Stelle bemerkt sei, dass die Erfindung nicht auf die speziell dargestellten Ausführungsvarianten derselben eingeschränkt ist.","The exemplary embodiments show possible embodiment variants of the device 1 for drilling deep boreholes 2, whereby it should be noted at this point that the invention is not restricted to the specifically illustrated embodiment variants but rather various combinations of the individual embodiments are possible and due to the teaching on technical procedure in the present invention these would be within the ability of a person skilled in this technical."
